year,month,date,value
2003,7,7,105.09
2003,7,8,97.74
2003,7,9,53.4
2003,7,10,54.32
2003,7,11,61.18
2003,7,12,83.97
2003,7,13,109.61
2003,7,14,79.71
2003,7,15,89.74
2003,7,16,125.42
2003,7,17,126.74
2003,7,18,124.45
2003,7,19,83.71
2003,7,20,55.86
2003,7,21,76.87
2003,7,22,98.59
2003,7,23,130.57
2003,7,24,137.63
2003,7,25,130.47
2003,7,26,136.4
2003,7,27,107.92
2003,7,28,90.77
2003,7,29,87.59
2003,7,30,89.51
2003,7,31,50.85
2003,8,1,82.52
2003,8,2,70.09
2003,8,3,59.62
2003,8,4,118.61
2003,8,5,132.1
2003,8,6,103.63
2003,8,7,133.79
2003,8,8,99.88
2003,8,9,76.16
2003,8,10,89.23
2003,8,11,70.71
2003,8,12,88.52
2003,8,13,66.38
2003,8,14,68.17
2003,8,15,104.56
2003,8,16,89.36
2003,8,17,109.28
2003,8,18,21.02
2003,8,19,54.96
2003,8,20,77.47
2003,8,21,105.12
2003,8,22,110.5
2003,8,23,119.5
2003,8,24,108.4
2003,8,25,90.61
2003,8,26,84.84
2003,8,27,101.28
2003,8,28,114.35
2003,8,29,121.07
2003,8,30,109.08
2003,8,31,96.0
2003,9,1,77.35
2003,9,2,57.69
2003,9,3,95.16
2003,9,4,66.66
2003,9,5,41.9
2003,9,6,25.83
2003,9,7,112.54
2003,9,8,91.02
2003,9,9,86.07
2003,9,10,81.8
2003,9,11,69.79
2003,9,12,80.93
2003,9,13,78.02
2003,9,14,100.98
2003,9,15,84.12
2003,9,16,17.42
2003,9,17,62.97
2003,9,18,33.04
2003,9,19,94.48
2003,9,20,104.91
2003,9,21,77.02
2003,9,22,60.91
2003,9,23,57.69
2003,9,24,33.92
2003,9,25,53.7
2003,9,26,86.38
2003,9,27,113.12
2003,9,28,107.94
2003,9,29,75.98
2003,9,30,104.03
2003,10,1,110.38
2003,10,2,114.76
2003,10,3,113.75
2003,10,4,112.7
2003,10,5,110.66
2003,10,6,112.33
2003,10,7,110.64
2003,10,8,107.62
2003,10,9,96.02
2003,10,10,92.7
2003,10,11,102.05
2003,10,12,102.32
2003,10,13,103.16
2003,10,14,107.53
2003,10,15,106.1
2003,10,16,103.02
2003,10,17,103.38
2003,10,18,101.08
2003,10,19,93.15
2003,10,20,82.1
2003,10,21,92.13
2003,10,22,82.2
2003,10,23,81.53
2003,10,24,87.1
2003,10,25,81.74
2003,10,26,78.55
2003,10,27,83.1
2003,10,28,89.89
2003,10,29,91.46
2003,10,30,87.75
2003,10,31,75.23
2003,11,1,74.59
2003,11,2,66.51
2003,11,3,72.95
2003,11,4,71.66
2003,11,5,75.77
2003,11,6,77.95
2003,11,7,80.83
2003,11,8,79.67
2003,11,9,84.92
2003,11,10,83.59
2003,11,11,74.77
2003,11,12,67.19
2003,11,13,66.52
2003,11,14,53.85
2003,11,15,67.81
2003,11,16,71.92
2003,11,17,65.44
2003,11,18,70.68
